id,url,title,park alpha,description,category,relatedRoadEvents,LastIndexedDate,park,region,alpha,State,Road Closed Flag,date
77ECB59E-1CA6-4369-AA48-A04DF771C596,https://www.nps.gov/shen/meadow-run-watershed-restoration.htm,Skyline Drive Status,SHEN,"Skyline Drive is closed from Loft Mountain (79.5) to Rockfish Gap (mile 105) for aerial limestone treatment. Click ""more"" for details and other temporary area closures.",Park Closure,[],2026-02-17 00:00:00.0,Shenandoah National Park,NER,SHEN,VA,yes,2026-02-17
71B56BC1-B916-4301-9A1D-96663ABD0A43,https://www.nps.gov/meve/planyourvisit/weather.htm,Delayed Opening Due to Snow and Ice,MEVE,"Tuesday, February 17, 2026 The park and roads will open at 11 am. The Visitor and Research Center opens at noon. If a park-wide closure is required, notification will appear around 10 am. Colorado traction laws will be in effect. Drive cautiously, plows will still be working.",Park Closure,[],2026-02-17 00:00:00.0,Mesa Verde National Park,IMR,MEVE,CO,yes,2026-02-17
95C687BB-074D-4A53-B12E-CA1739FA6FC7,https://www.nps.gov/mora/planyourvisit/winter-travel.htm,"Paradise Road Status: Gate closed at Longmire, projected to open tomorrow",MORA,"02/17/2026 The road is open to Longmire. All vehicles, including 4WD and AWD, must carry tire chains and be ready to use them. The gate at Longmire to Paradise is closed to support public safety and is projected to open, conditions permitting, tomorrow, Wednesday 02/18/2026",Park Closure,"[{'title': 'Nightly Paradise Road Closure', 'id': '95C687BB-074D-4A53-B12E-CA1739FA6FC7', 'type': 'roadevent', 'url': 'https://www.nps.gov/mora/planyourvisit/conditions.htm'}]",2026-02-17 00:00:00.0,Mount Rainier National Park,PWR,MORA,WA,yes,2026-02-17
76A6A599-A4B8-49C3-BD32-56620117ECE2,,Newton B. Drury Scenic Parkway Closure,REDW,"Due to the incoming storm system, the Parkway is closed until later this week. Access to the Prairie Creek Visitor Center and Elk Prairie Campground will not be affected. Use Exit 753 to reach Prairie Creek Visitor Center.",Park Closure,"[{'title': 'Newton B. Drury Scenic Parkway Closure', 'id': '76A6A599-A4B8-49C3-BD32-56620117ECE2', 'type': 'roadevent', 'url': 'https://www.nps.gov/redw/planyourvisit/conditions.htm'}]",2026-02-16 00:00:00.0,Redwood National Park,PWR,REDW,CA,yes,2026-02-17
A04AED55-0E2F-474B-96DD-C76EBDC1BEBD,https://forecast.weather.gov/MapClick.php?lon=-122.13198849186297&lat=42.89862877968113,Road to Rim Village will CLOSE at 4:30 PM Today,CRLA,"The road from Park Headquarters to Rim Village will CLOSE at 4:30 PM today due to the incoming snowstorm. Once that happens, no view of the lake is accessible by vehicle at this time. Please use caution if driving in the park. All Oregon Chain Laws apply.",Park Closure,"[{'title': 'Road from HQ to Rim Village Remains CLOSED.', 'id': 'A04AED55-0E2F-474B-96DD-C76EBDC1BEBD', 'type': 'roadevent', 'url': 'https://www.nps.gov/crla/planyourvisit/conditions.htm'}]",2026-02-16 00:00:00.0,Crater Lake National Park,PWR,CRLA,OR,yes,2026-02-17
2D6862D7-9E2F-42EB-87CB-922FEB8A77E7,,"Hurricane Ridge Road Status, Tuesday 2/17 - Thursday 2/19",OLYM,"During the winter season the Hurricane Ridge Road remains closed during weekdays. The road is expected to reopen on Friday 2/20 at 9am, although significant snow could delay this opening.",Park Closure,[],2026-02-16 00:00:00.0,Olympic National Park,PWR,OLYM,WA,yes,2026-02-17
E5355262-0BAB-4F46-B7C0-220B97385438,https://www.nps.gov/yose/planyourvisit/wroads.htm,Tioga Road (Hwy 120 through the park) and Glacier Point Road are closed,YOSE,"Tioga Road (continuation of Highway 120 through the park), Glacier Point Road beyond Badger Pass, and Mariposa Grove Road are closed for the season due to snow. Snow is possible on other roads; be prepared for tire chain requirements and other road closures. Call 209/372-0200 (then 1, 1) to check road conditions.",Park Closure,"[{'title': 'Tioga and Glacier Point Roads winter closure', 'id': 'E5355262-0BAB-4F46-B7C0-220B97385438', 'type': 'roadevent', 'url': 'https://www.nps.gov/yose/planyourvisit/conditions.htm'}]",2026-02-16 00:00:00.0,Yosemite National Park,PWR,YOSE,CA,yes,2026-02-17
C99E98BD-745E-4B7C-BB54-D70F70C808EA,,Big Oak Flat Road is temporarily closed due to snow,YOSE,"Big Oak Flat Road (continuation of Hwy 120 toward Yosemite Valley from the west) is temporarily closed from Big Oak Flat Entrance to Foresta junction due to snow. Highway 140/El Portal Road is the alternate route. Call 209/372-0200 (then 1, 1) for updates.",Park Closure,"[{'title': 'Big Oak Flat Road temporary snow closure', 'id': 'C99E98BD-745E-4B7C-BB54-D70F70C808EA', 'type': 'roadevent', 'url': 'https://www.nps.gov/yose/planyourvisit/conditions.htm'}]",2026-02-16 00:00:00.0,Yosemite National Park,PWR,YOSE,CA,yes,2026-02-17
D41873A5-E2D2-4F37-8F26-3B4B2DB0CF4F,,All But 6 Miles of Generals Highway Temporarily Closed Due to Winter Storm,SEKI,"Due to heavy snow from an ongoing winter storm, Generals Highway is temporarily closed north of Hospital Rock. This means only the southern six miles near the town of Three Rivers is open. The U.S. Forest Service Quail Flat Winter Trailhead and Wolverton Snowplay Area are not accessible during the closure. Sections of the highway will reopen when road crews are able to clear the roadway.",Park Closure,"[{'title': 'Temporary Closure of Much of Generals Highway Due to Winter Storm Impacts', 'id': 'D41873A5-E2D2-4F37-8F26-3B4B2DB0CF4F', 'type': 'roadevent', 'url': 'https://www.nps.gov/seki/planyourvisit/conditions.htm'}]",2026-02-16 00:00:00.0,Sequoia & Kings Canyon,PWR,SEKI,CA,yes,2026-02-17
5F5FCEFD-5537-499B-B7DB-C97CCD18319B,,Temporary Meyers Beach Parking Lot and Access Road Closure,APIS,Meyers Beach parking lot and Meyers Beach access road are temporarily closed to protect visitor safety and support incident management.,Park Closure,[],2026-02-14 00:00:00.0,Apostle Islands National Lakeshore,MWR,APIS,WI,yes,2026-02-17
84A3E324-2998-450B-9E39-ED01C1730755,,Winter storm forecast: carry tire chains and be prepared for road closures,YOSE,"Tire chain requirements and some road closures are likely starting Monday, February 16, due to a forecast of heavy snow. Call 209/372-0200 (then 1, 1) for current road status within Yosemite National Park.",Park Closure,[],2026-02-14 00:00:00.0,Yosemite National Park,PWR,YOSE,CA,yes,2026-02-17
8307538D-35BF-47C3-84BF-6A59C34F41F6,,Cades Cove Loop Road closures February 23-27,GRSM,Cades Cove Loop Road will be closed to all users February 23-27 for hazard tree removal. The road will reopen at 12 PM on Friday and remain open through the weekend during regular hours (sunrise to sunset).,Caution,"[{'title': 'Cades Cove Loop Road', 'id': '8307538D-35BF-47C3-84BF-6A59C34F41F6', 'type': 'roadevent', 'url': 'https://www.nps.gov/grsm/planyourvisit/conditions.htm'}]",2026-02-13 00:00:00.0,Great Smoky Mountains National Park,SER,GRSM,"TN,NC",yes,2026-02-17
