id,url,title,park alpha,description,category,relatedRoadEvents,LastIndexedDate,park,region,alpha,State,Road Closed Flag,date
4F449A55-3D1E-4D47-BCCE-0989A903B3DA,,What to Expect During Government Funding Lapse,FOWA,There are currently no amenities or services available at Fort Washington Park due to the lapse in government funding. There is no vehicular access to the park.,Park Closure,[],00:00.0,Fort Washington Park,NCR,FOWA,MD,yes,2025-11-05
A04AED55-0E2F-474B-96DD-C76EBDC1BEBD,https://forecast.weather.gov/MapClick.php?lon=-122.13198849186297&lat=42.89862877968113,Road from Park Headquarters to Rim Village is Temporarily CLOSED,CRLA,The road from Park HQ to Rim Village is currently closed due to the latest winter storm. It is not currently possible to get a lake view by vehicle. All Oregon Chain Laws apply.,Park Closure,"[{'title': 'Road from HQ to Rim Village Remains CLOSED.', 'id': 'A04AED55-0E2F-474B-96DD-C76EBDC1BEBD', 'type': 'roadevent', 'url': 'https://www.nps.gov/crla/planyourvisit/conditions.htm'}]",00:00.0,Crater Lake National Park,PWR,CRLA,OR,yes,2025-11-05
43F48E82-6E98-4475-A7C7-E0B7E34975AA,,"Cades Cove Loop Road will be closed Sunday, Nov. 9 until 11am",GRSM,"Cades Cove Loop Road will be closed until approximately 11 a.m. on Sunday, Nov. 9 for the Friends of the Smokies annual Loop Lope footrace. Vehicles without event registration passes will not be permitted past the Townsend Wye until the road reopens. Although registration for this year’s event is full, you can learn more at: https://friendsofthesmokies.org/looplope/",Park Closure,[],00:00.0,Great Smoky Mountains National Park,SER,GRSM,"TN,NC",yes,2025-11-05
DCFFA012-71B8-4FFC-A727-F04F1C70738A,https://www.nps.gov/goga/planyourvisit/park-status-during-2025-lapse.htm,Fort Point partially closed due to lapse in federal appropriations,FOPO,"Fort Point was previously open in October but has since partially closed. The parking lot, interior of the fort and nearby Long Ave. and Marine Dr. are closed. Restrooms will remain open.",Park Closure,[],00:00.0,Fort Point National Historic Site,PWR,FOPO,CA,yes,2025-11-05
238A4176-5720-4AD2-A0BC-9BF3C469459B,,Baker Creek Prescribed Fire Area Closure,GRBA,The Baker Creek prescribed burn closure order has been revised/reissued. Baker Creek Road and trailhead and Pole Canyon Road and trailhead have reopened. The closure area is revised to much smaller area between Grey Cliffs Campground and Baker Creek Campground. The connector trail between the two campgrounds remains closed. All other trails have reopened. Grey Cliffs Campground and Baker Creek Campground will remain closed for their regular winter seasonal closure.,Park Closure,[],00:00.0,Great Basin National Park,PWR,GRBA,NV,yes,2025-11-05
58E30F52-2D8A-44AE-902D-651FA61A04F4,,Upper Fort Mason Roads and Parking Area Closures Fall 2025 - Fall 2026,GOGA,Roads and parking areas at upper Fort Mason will have closures during utilities and seismic retrofit projects. Closures planned Fall 2025 through Fall 2026. Lots will be fenced and used as staging areas for projects occurring at Fort Mason. Signs will be posted in advance of utilities work as project progresses through each area at Fort Mason. Read signs and do not park in posted areas. Vehicles will be towed at owner's expense.,Information,[],00:00.0,Golden Gate National Recreation Area,PWR,GOGA,CA,yes,2025-11-05
75D565BA-4F2A-4203-80C3-3CB450A26309,,Prescribed Burn in Cedar Grove Started on November 3rd - Kings Canyon NP,SEKI,"Firefighters started the Cedar West Prescribed Burn on Monday, November 3rd in Kings Canyon National Park. Highway 180 (Cedar Grove Road) will remain open, but visitors can expect temporary closures of minor roads in the western part of Cedar Grove, including: Northside Drive, Cedar Lane, portions of West Side Drive, and River Rd (Motor Nature Trail) on the north side of the Kings River. Smoke impacts are anticipated to be minimal, though visitors may see smoke, fire equipment, and personnel.",Caution,[],00:00.0,Sequoia & Kings Canyon,PWR,SEKI,CA,yes,2025-11-05
6E34CD95-476A-4DAB-9377-3DE4542F53A4,,Winter Season Closures,MORA,"The following regular winter season closures are in place: West Side Road, Cougar Rock Campground and Picnic Area, Paradise Picnic Area, Paradise Valley Road, Stevens Canyon Road, White River Campground, White River Road, Sunrise Road, State Routes 410/Chinook Pass (between Crystal Mountain Blvd. and Morse Creek) and 123/Cayuse Pass (at the park boundary).",Park Closure,[],00:00.0,Mount Rainier National Park,PWR,MORA,WA,yes,2025-11-05
BB80D989-2D70-45F6-99B3-73BE1A5FB751,,Road Work November 8 on Rock Creek Parkway,ROCR,"National Park service will be performing road work and sanitation North and South bound on the Rock Creek Parkway November 8, 2025 from 07:30 am to 01:00 pm.",Information,[],00:00.0,Rock Creek Park,NCR,ROCR,DC,yes,2025-11-05
A14CFF34-4733-46E8-8527-B7A93B4C25CD,https://www.nps.gov/yell/planyourvisit/parkroads.htm,Most Park Roads Closed to All Vehicles,YELL,"Most roads are closed to prepare for commercially-guided snowcoach and snowmobile travel during the winter season, which will begin December 15 (weather depending). The road between the North and Northeast entrances is the only road open year-round to regular vehicles.",Park Closure,[],00:00.0,Yellowstone National Park,IMR,YELL,"ID,MT,WY",yes,2025-11-05
